timestamp,region,price_per_mwh,currency,source,source_granularity,fetched_at
2025-06-01 00:00:00+00:00,us-south,87.73,USD,ercot_dam_spp,hourly,2026-05-22 12:44:52.644206+00:00
2025-06-01 01:00:00+00:00,us-south,96.57,USD,ercot_dam_spp,hourly,2026-05-22 12:44:52.644206+00:00
2025-06-01 02:00:00+00:00,us-south,58.14,USD,ercot_dam_spp,hourly,2026-05-22 12:44:52.644206+00:00
2025-06-01 03:00:00+00:00,us-south,34.01,USD,ercot_dam_spp,hourly,2026-05-22 12:44:52.644206+00:00
2025-06-01 04:00:00+00:00,us-south,27.3,USD,ercot_dam_spp,hourly,2026-05-22 12:44:52.644206+00:00
2025-06-01 05:00:00+00:00,us-south,24.73,USD,ercot_dam_spp,hourly,2026-05-22 12:44:52.644206+00:00
2025-06-01 06:00:00+00:00,us-south,22.8,USD,ercot_dam_spp,hourly,2026-05-22 12:44:52.644206+00:00
2025-06-01 07:00:00+00:00,us-south,21.51,USD,ercot_dam_spp,hourly,2026-05-22 12:44:52.644206+00:00
2025-06-01 08:00:00+00:00,us-south,21.22,USD,ercot_dam_spp,hourly,2026-05-22 12:44:52.644206+00:00
2025-06-01 09:00:00+00:00,us-south,21.23,USD,ercot_dam_spp,hourly,2026-05-22 12:44:52.644206+00:00
2025-06-01 10:00:00+00:00,us-south,21.43,USD,ercot_dam_spp,hourly,2026-05-22 12:44:52.644206+00:00
2025-06-01 11:00:00+00:00,us-south,22.84,USD,ercot_dam_spp,hourly,2026-05-22 12:44:52.644206+00:00
2025-06-01 12:00:00+00:00,us-south,19.79,USD,ercot_dam_spp,hourly,2026-05-22 12:44:52.644206+00:00
2025-06-01 13:00:00+00:00,us-south,15.8,USD,ercot_dam_spp,hourly,2026-05-22 12:44:52.644206+00:00
2025-06-01 14:00:00+00:00,us-south,15.96,USD,ercot_dam_spp,hourly,2026-05-22 12:44:52.644206+00:00
2025-06-01 15:00:00+00:00,us-south,18.49,USD,ercot_dam_spp,hourly,2026-05-22 12:44:52.644206+00:00
2025-06-01 16:00:00+00:00,us-south,23.43,USD,ercot_dam_spp,hourly,2026-05-22 12:44:52.644206+00:00
2025-06-01 17:00:00+00:00,us-south,27.3,USD,ercot_dam_spp,hourly,2026-05-22 12:44:52.644206+00:00
2025-06-01 18:00:00+00:00,us-south,31.52,USD,ercot_dam_spp,hourly,2026-05-22 12:44:52.644206+00:00
2025-06-01 19:00:00+00:00,us-south,36.2,USD,ercot_dam_spp,hourly,2026-05-22 12:44:52.644206+00:00
2025-06-01 20:00:00+00:00,us-south,39.62,USD,ercot_dam_spp,hourly,2026-05-22 12:44:52.644206+00:00
2025-06-01 21:00:00+00:00,us-south,43.77,USD,ercot_dam_spp,hourly,2026-05-22 12:44:52.644206+00:00
2025-06-01 22:00:00+00:00,us-south,46.17,USD,ercot_dam_spp,hourly,2026-05-22 12:44:52.644206+00:00
2025-06-01 23:00:00+00:00,us-south,51.09,USD,ercot_dam_spp,hourly,2026-05-22 12:44:52.644206+00:00
