timestamp,region,cluster_id,gpu_type,available_gpus,queue_depth_jobs,est_wait_hours
2025-06-01T00:00:00+00:00,us-west,us-west-cluster-1,a100,60,7,0.76
2025-06-01T00:00:00+00:00,us-east,us-east-cluster-1,a100,34,12,1.47
2025-06-01T00:00:00+00:00,us-south,us-south-cluster-1,a100,74,3,0.26
2025-06-01T01:00:00+00:00,us-west,us-west-cluster-1,a100,59,7,0.62
2025-06-01T01:00:00+00:00,us-east,us-east-cluster-1,a100,63,6,0.82
2025-06-01T01:00:00+00:00,us-south,us-south-cluster-1,a100,73,2,0.27
2025-06-01T02:00:00+00:00,us-west,us-west-cluster-1,a100,75,4,0.65
2025-06-01T02:00:00+00:00,us-east,us-east-cluster-1,a100,33,16,1.67
2025-06-01T02:00:00+00:00,us-south,us-south-cluster-1,a100,57,5,0.31
2025-06-01T03:00:00+00:00,us-west,us-west-cluster-1,a100,76,0,0.5
2025-06-01T03:00:00+00:00,us-east,us-east-cluster-1,a100,53,10,0.89
2025-06-01T03:00:00+00:00,us-south,us-south-cluster-1,a100,65,3,0.16
2025-06-01T04:00:00+00:00,us-west,us-west-cluster-1,a100,55,8,0.76
2025-06-01T04:00:00+00:00,us-east,us-east-cluster-1,a100,46,12,1.2
2025-06-01T04:00:00+00:00,us-south,us-south-cluster-1,a100,64,4,0.21
2025-06-01T05:00:00+00:00,us-west,us-west-cluster-1,a100,76,5,0.62
2025-06-01T05:00:00+00:00,us-east,us-east-cluster-1,a100,71,4,0.65
2025-06-01T05:00:00+00:00,us-south,us-south-cluster-1,a100,75,3,0.24
2025-06-01T06:00:00+00:00,us-west,us-west-cluster-1,a100,64,4,0.62
2025-06-01T06:00:00+00:00,us-east,us-east-cluster-1,a100,52,8,0.8
2025-06-01T06:00:00+00:00,us-south,us-south-cluster-1,a100,70,3,0.29
2025-06-01T07:00:00+00:00,us-west,us-west-cluster-1,a100,49,9,0.84
2025-06-01T07:00:00+00:00,us-east,us-east-cluster-1,a100,57,9,1.08
2025-06-01T07:00:00+00:00,us-south,us-south-cluster-1,a100,77,2,0.22
2025-06-01T08:00:00+00:00,us-west,us-west-cluster-1,a100,9,25,2.27
2025-06-01T08:00:00+00:00,us-east,us-east-cluster-1,a100,0,37,3.66
2025-06-01T08:00:00+00:00,us-south,us-south-cluster-1,a100,61,7,0.74
2025-06-01T09:00:00+00:00,us-west,us-west-cluster-1,a100,2,24,2.35
2025-06-01T09:00:00+00:00,us-east,us-east-cluster-1,a100,0,41,4.1
2025-06-01T09:00:00+00:00,us-south,us-south-cluster-1,a100,45,11,0.77
2025-06-01T10:00:00+00:00,us-west,us-west-cluster-1,a100,28,16,1.92
